YEAR,Citations,ICR (in %),Articles,SJR
1999,10834,60.14,3138,2.489
2000,10671,50.89,3224,2.178
2001,8301,41.17,2902,1.555
2002,14459,35.61,3733,1.742
2003,16481,63.55,4055,1.967
2004,19057,65.48,4451,2.633
2005,21850,67.72,4590,2.891
2006,23037,67.49,4721,3.224
2007,22557,68.68,4705,2.816
2008,21354,67.24,4725,2.923
2009,22059,70.56,4767,2.879
2010,23315,72.72,4687,2.74
2011,21402,74.23,4161,2.373
2012,23503,71.88,4556,2.585
2013,22039,73.48,4582,2.544
2014,22391,75.07,4560,2.823
2015,21852,76.27,4313,2.543
2016,19613,75.52,4001,2.246
239,,,,
