YEAR,Citations,ICR ( in %),Articles,sjr
1999,8427,53.48,2579,3.208
2000,9012,56.81,2737,2.962
2001,8955,56.65,2804,2.24
2002,10835,52.38,2839,2.464
2003,12374,56.1,2954,2.842
2004,14792,58.72,3206,4.035
2005,16677,59.75,3436,3.948
2006,18424,58.89,3606,4.217
2007,18030,59.09,3893,3.347
2008,17180,60.01,401,3.611
2009,20885,58.11,4297,3.527
2010,21329,60.78,4447,3.035
2011,23804,60.88,4873,2.902
2012,29892,62.45,5635,3.159
2013,33233,65.63,6476,3.113
2014,37739,69.83,7444,3.175
2015,34528,65.13,7882,2.67
2016,31628,65.58,7736,2.338
258,,,,
