Documents,Year,Value
Non-citable documents,1999,0
Non-citable documents,2000,0
Non-citable documents,2001,0
Non-citable documents,2002,0
Non-citable documents,2003,1
Non-citable documents,2004,1
Non-citable documents,2005,1
Non-citable documents,2006,1
Non-citable documents,2007,2
Non-citable documents,2008,4
Non-citable documents,2009,4
Non-citable documents,2010,3
Non-citable documents,2011,1
Non-citable documents,2012,1
Non-citable documents,2013,1
Non-citable documents,2014,2
Non-citable documents,2015,1
Non-citable documents,2016,1
Citable documents,1999,47
Citable documents,2000,44
Citable documents,2001,43
Citable documents,2002,44
Citable documents,2003,46
Citable documents,2004,46
Citable documents,2005,49
Citable documents,2006,53
Citable documents,2007,49
Citable documents,2008,44
Citable documents,2009,37
Citable documents,2010,39
Citable documents,2011,44
Citable documents,2012,44
Citable documents,2013,44
Citable documents,2014,39
Citable documents,2015,40
Citable documents,2016,42
