year,citations,ICR in(%),Articles,SJR
1999,14830,25.79,7792,2.071
2000,16288,26.62,7708,2.338
2001,18107,26.46,8043,2.079
2002,19641,23.74,8136,2.225
2003,20030,28.53,8624,2.019
2004,21991,28.09,9006,2.097
2005,25087,28.47,9153,2.034
2006,25980,27.88,9401,1.947
2007,23605,27.93,9820,1.708
2008,25627,30.51,10870,1.667
2009,25477,29.5,11601,1.518
2010,27414,28.74,12252,1.47
2011,29118,30.48,12237,1.373
2012,29394,29.07,12409,1.305
2013,30623,29.99,12562,1.165
2014,30069,30.65,13233,1.005
2015,22381,29.9,13087,0.618
2016,20333,30.8,11907,0.632
