year,citations,ICR in(%),Articles,SJR
1999,20095,27.48,6752,2.133
2000,22351,31.17,7124,2.576
2001,23045,26.53,7442,2.381
2002,23200,25.94,7592,2.256
2003,22310,29.5,7566,2.121
2004,23760,31.13,7803,2.229
2005,26440,28,8110,2.17
2006,27580,29.31,8778,2
2007,25679,31.68,8984,2.163
2008,24846,32.48,8710,2.189
2009,24304,33.82,8375,2.003
2010,22023,34.18,8049,1.73
2011,24484,31.44,7686,1.805
2012,22766,34.41,7574,1.787
2013,23288,32.18,7552,1.532
2014,22337,35.06,8199,1.386
2015,17124,36.33,8235,0.953
2016,17288,32.55,8149,1.073
