year,citations,ICR in(%),Articles,SJR
1999,1155,17.78,707,1.6
2000,1306,20.7,699,2.821
2001,1431,19.55,683,2.308
2002,1644,18.85,718,1.641
2003,1830,21.07,737,2.335
2004,2083,17.86,790,2.382
2005,2529,20.92,832,2.491
2006,2812,21.05,894,2.182
2007,3405,22.24,1013,2.377
2008,3516,23.86,1231,2.247
2009,4396,23.47,1340,2.439
2010,4665,26.61,1431,2.185
2011,4801,25.96,1401,2.06
2012,4388,25.17,1456,2.161
2013,4754,26.02,1407,2.227
2014,5121,27.99,1549,2.166
2015,5387,30.81,1772,2.098
2016,6281,31.34,2032,2.034
