year,citations,ICR in(%),Articles,SJR
1999,3936,8.79,1525,1.37
2000,4651,12.46,1502,1.71
2001,5567,13.57,1612,1.713
2002,6070,12.65,1680,1.699
2003,7864,13.75,1761,2.211
2004,7830,19.12,1757,2.293
2005,8338,18.67,1813,2.614
2006,9392,13.34,1895,2.401
2007,9399,15.29,2055,2.522
2008,9423,12.95,2143,2.381
2009,9518,14.73,2271,2.286
2010,9773,20.13,2276,2.528
2011,9876,15.82,2305,2.226
2012,10571,16.45,2324,2.647
2013,11943,16.93,2377,2.827
2014,10951,17.2,2619,2.501
2015,9738,19.77,2425,2.333
2016,6507,21.45,1922,2.221
